Date,EPV
20160203:0656,0
20160203:0756,0
20160203:0856,92.05
20160203:0956,65.93
20160203:1056,135.13
20160203:1156,107.95
20160203:1256,166.43
20160203:1356,533.47
20160203:1456,23.83
20160203:1556,72.7
20160203:1656,0
20160203:1756,0
20160203:1856,0
20160203:1956,0
20160203:2056,0
20160203:2156,0
20160203:2256,0
20160203:2356,0
20160204:0056,0
20160204:0156,0
20160204:0256,0
20160204:0356,0
20160204:0456,0
20160204:0556,0
20160204:0656,0
20160204:0756,0
20160204:0856,217.96
20160204:0956,181.18
20160204:1056,103.1
20160204:1156,127.16
20160204:1256,105.79
20160204:1356,220.02
20160204:1456,274.3
20160204:1556,127.4
20160204:1656,0
20160204:1756,0
20160204:1856,0
20160204:1956,0
20160204:2056,0
20160204:2156,0
20160204:2256,0
20160204:2356,0
20160205:0056,0
20160205:0156,0
20160205:0256,0
20160205:0356,0
20160205:0456,0
20160205:0556,0
20160205:0656,0
20160205:0756,0
20160205:0856,18.06
20160205:0956,52.75
20160205:1056,40.46
20160205:1156,58.38
20160205:1256,57.81
20160205:1356,42.65
20160205:1456,23.99
20160205:1556,15.35
20160205:1656,0
20160205:1756,0
20160205:1856,0
20160205:1956,0
20160205:2056,0
20160205:2156,0
20160205:2256,0
20160205:2356,0
20160206:0056,0
20160206:0156,0
20160206:0256,0
20160206:0356,0
20160206:0456,0
20160206:0556,0
20160206:0656,0
20160206:0756,0.35
20160206:0856,12.15
20160206:0956,26.03
20160206:1056,42.32
20160206:1156,62.45
20160206:1256,3.75
20160206:1356,37.39
20160206:1456,0.73
20160206:1556,38.92
20160206:1656,0
20160206:1756,0
20160206:1856,0
20160206:1956,0
20160206:2056,0
20160206:2156,0
20160206:2256,0
20160206:2356,0
20160207:0056,0
20160207:0156,0
20160207:0256,0
20160207:0356,0
20160207:0456,0
20160207:0556,0
20160207:0656,0
20160207:0756,2.79
20160207:0856,52.75
20160207:0956,509.71
20160207:1056,510.6
20160207:1156,676.67
20160207:1256,242.03
20160207:1356,426.05
20160207:1456,28.06
20160207:1556,0.39
20160207:1656,0
20160207:1756,0
20160207:1856,0
20160207:1956,0
20160207:2056,0
20160207:2156,0
20160207:2256,0
20160207:2356,0
20160208:0056,0
20160208:0156,0
20160208:0256,0
20160208:0356,0
20160208:0456,0
20160208:0556,0
20160208:0656,0
20160208:0756,0
20160208:0856,1.58
20160208:0956,146.49
20160208:1056,191.64
20160208:1156,211.98
20160208:1256,76.78
20160208:1356,40.34
20160208:1456,17.19
20160208:1556,63.4
20160208:1656,0
20160208:1756,0
20160208:1856,0
20160208:1956,0
20160208:2056,0
20160208:2156,0
20160208:2256,0
20160208:2356,0
20160209:0056,0
20160209:0156,0
20160209:0256,0
20160209:0356,0
20160209:0456,0
20160209:0556,0
20160209:0656,0
20160209:0756,95.67
20160209:0856,26.01
20160209:0956,67.08
20160209:1056,312.7
20160209:1156,654.64
20160209:1256,667.66
20160209:1356,436.29
20160209:1456,403.53
20160209:1556,166.68
20160209:1656,0
20160209:1756,0
20160209:1856,0
20160209:1956,0
20160209:2056,0
20160209:2156,0
20160209:2256,0
20160209:2356,0
20160210:0056,0
20160210:0156,0
20160210:0256,0
20160210:0356,0
20160210:0456,0
20160210:0556,0
20160210:0656,0
20160210:0756,3.51
20160210:0856,141.67
20160210:0956,51.85
20160210:1056,140.13
20160210:1156,70.37
20160210:1256,282.67
20160210:1356,179.16
20160210:1456,292.3
20160210:1556,111.79
20160210:1656,0
20160210:1756,0
20160210:1856,0
20160210:1956,0
20160210:2056,0
20160210:2156,0
20160210:2256,0
20160210:2356,0
20160211:0056,0
20160211:0156,0
20160211:0256,0
20160211:0356,0
20160211:0456,0
20160211:0556,0
20160211:0656,0
20160211:0756,66.92
20160211:0856,346.78
20160211:0956,540.7
20160211:1056,649.82
20160211:1156,688.14
20160211:1256,621.23
20160211:1356,520.24
20160211:1456,313.91
20160211:1556,193.83
20160211:1656,0
20160211:1756,0
20160211:1856,0
20160211:1956,0
20160211:2056,0
20160211:2156,0
20160211:2256,0
20160211:2356,0
20160212:0056,0
20160212:0156,0
20160212:0256,0
20160212:0356,0
20160212:0456,0
20160212:0556,0
20160212:0656,0
20160212:0756,68.27
20160212:0856,343.19
20160212:0956,414.19
20160212:1056,430.75
20160212:1156,656.15
20160212:1256,580.75
20160212:1356,407.07
20160212:1456,143.55
20160212:1556,39.96
20160212:1656,0
20160212:1756,0
20160212:1856,0
20160212:1956,0
20160212:2056,0
20160212:2156,0
20160212:2256,0
20160212:2356,0
20160213:0056,0
20160213:0156,0
20160213:0256,0
20160213:0356,0
20160213:0456,0
20160213:0556,0
20160213:0656,0
20160213:0756,1.49
20160213:0856,152.42
20160213:0956,53.4
20160213:1056,61.76
20160213:1156,80.72
20160213:1256,13.25
20160213:1356,25
20160213:1456,13.18
20160213:1556,16.21
20160213:1656,0
20160213:1756,0
20160213:1856,0
20160213:1956,0
20160213:2056,0
20160213:2156,0
20160213:2256,0
20160213:2356,0
20160214:0056,0
20160214:0156,0
20160214:0256,0
20160214:0356,0
20160214:0456,0
20160214:0556,0
20160214:0656,0
20160214:0756,87.7
20160214:0856,290.47
20160214:0956,469.48
20160214:1056,601.2
20160214:1156,359.32
20160214:1256,527.28
20160214:1356,435.43
20160214:1456,362.47
20160214:1556,109.22
20160214:1656,2.22
20160214:1756,0
20160214:1856,0
20160214:1956,0
20160214:2056,0
20160214:2156,0
20160214:2256,0
20160214:2356,0
20160215:0056,0
20160215:0156,0
20160215:0256,0
20160215:0356,0
20160215:0456,0
20160215:0556,0
20160215:0656,0
20160215:0756,104.59
20160215:0856,386.34
20160215:0956,583.57
20160215:1056,700.7
20160215:1156,740.78
20160215:1256,707.52
20160215:1356,191.05
20160215:1456,262.18
20160215:1556,136.56
20160215:1656,3.18
20160215:1756,0
20160215:1856,0
20160215:1956,0
20160215:2056,0
20160215:2156,0
20160215:2256,0
20160215:2356,0
20160216:0056,0
20160216:0156,0
20160216:0256,0
20160216:0356,0
20160216:0456,0
20160216:0556,0
20160216:0656,0
20160216:0756,113.73
20160216:0856,389.65
20160216:0956,580.82
20160216:1056,688.19
20160216:1156,726.03
20160216:1256,693.15
20160216:1356,553.15
20160216:1456,300.59
20160216:1556,153.44
20160216:1656,3.7
20160216:1756,0
20160216:1856,0
20160216:1956,0
20160216:2056,0
20160216:2156,0
20160216:2256,0
20160216:2356,0
20160217:0056,0
20160217:0156,0
20160217:0256,0
20160217:0356,0
20160217:0456,0
20160217:0556,0
20160217:0656,0
20160217:0756,4.94
20160217:0856,24.77
20160217:0956,34.33
20160217:1056,41.29
20160217:1156,46.53
20160217:1256,66.51
20160217:1356,58.36
20160217:1456,50.39
20160217:1556,0.73
20160217:1656,0.86
20160217:1756,0
20160217:1856,0
20160217:1956,0
20160217:2056,0
20160217:2156,0
20160217:2256,0
20160217:2356,0
20160218:0056,0
20160218:0156,0
20160218:0256,0
20160218:0356,0
20160218:0456,0
20160218:0556,0
20160218:0656,0
20160218:0756,127.91
20160218:0856,395.28
20160218:0956,582.46
20160218:1056,698.44
20160218:1156,672.32
20160218:1256,703.95
20160218:1356,602.88
20160218:1456,443.25
20160218:1556,103.15
20160218:1656,22.83
20160218:1756,0
20160218:1856,0
20160218:1956,0
20160218:2056,0
20160218:2156,0
20160218:2256,0
20160218:2356,0
20160219:0056,0
20160219:0156,0
20160219:0256,0
20160219:0356,0
20160219:0456,0
20160219:0556,0
20160219:0656,0
20160219:0756,131.29
20160219:0856,393.79
20160219:0956,579.4
20160219:1056,681.78
20160219:1156,720.75
20160219:1256,400.02
20160219:1356,224.38
20160219:1456,56.37
20160219:1556,15.45
20160219:1656,17.76
20160219:1756,0
20160219:1856,0
20160219:1956,0
20160219:2056,0
20160219:2156,0
20160219:2256,0
20160219:2356,0
20160220:0056,0
20160220:0156,0
20160220:0256,0
20160220:0356,0
20160220:0456,0
20160220:0556,0
20160220:0656,0
20160220:0756,50.98
20160220:0856,299.75
20160220:0956,444.88
20160220:1056,102.91
20160220:1156,93.63
20160220:1256,51.99
20160220:1356,18.3
20160220:1456,10.25
20160220:1556,1.02
20160220:1656,0
20160220:1756,0
20160220:1856,0
20160220:1956,0
20160220:2056,0
20160220:2156,0
20160220:2256,0
20160220:2356,0
20160221:0056,0
20160221:0156,0
20160221:0256,0
20160221:0356,0
20160221:0456,0
20160221:0556,0
20160221:0656,0
20160221:0756,11.73
20160221:0856,87.23
20160221:0956,151.08
20160221:1056,131.89
20160221:1156,134.94
20160221:1256,133.72
20160221:1356,100.82
20160221:1456,61.35
20160221:1556,33.9
20160221:1656,26.75
20160221:1756,0
20160221:1856,0
20160221:1956,0
20160221:2056,0
20160221:2156,0
20160221:2256,0
20160221:2356,0
20160222:0056,0
20160222:0156,0
20160222:0256,0
20160222:0356,0
20160222:0456,0
20160222:0556,0
20160222:0656,0
20160222:0756,24.32
20160222:0856,59.68
20160222:0956,60.41
20160222:1056,99.16
20160222:1156,205.07
20160222:1256,330.66
20160222:1356,534.14
20160222:1456,382.13
20160222:1556,198.17
20160222:1656,22.09
20160222:1756,0
20160222:1856,0
20160222:1956,0
20160222:2056,0
20160222:2156,0
20160222:2256,0
20160222:2356,0
20160223:0056,0
20160223:0156,0
20160223:0256,0
20160223:0356,0
20160223:0456,0
20160223:0556,0
20160223:0656,0
20160223:0756,41.08
20160223:0856,224.82
20160223:0956,444.2
20160223:1056,162.33
20160223:1156,67
20160223:1256,198.1
20160223:1356,146.31
20160223:1456,40
20160223:1556,204.39
20160223:1656,40.93
20160223:1756,0
20160223:1856,0
20160223:1956,0
20160223:2056,0
20160223:2156,0
20160223:2256,0
20160223:2356,0
20160224:0056,0
20160224:0156,0
20160224:0256,0
20160224:0356,0
20160224:0456,0
20160224:0556,0
20160224:0656,0
20160224:0756,174.25
20160224:0856,374.15
20160224:0956,617.6
20160224:1056,407.39
20160224:1156,728.57
20160224:1256,715.02
20160224:1356,595.85
20160224:1456,469.65
20160224:1556,262.22
20160224:1656,44.81
20160224:1756,0
20160224:1856,0
20160224:1956,0
20160224:2056,0
20160224:2156,0
20160224:2256,0
20160224:2356,0
20160225:0056,0
20160225:0156,0
20160225:0256,0
20160225:0356,0
20160225:0456,0
20160225:0556,0
20160225:0656,0
20160225:0756,198.43
20160225:0856,447.82
20160225:0956,626.09
20160225:1056,728.18
20160225:1156,299.63
20160225:1256,215.06
